,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
55,MA0596.1,0,-0.5532948659583,-0.570282920292854,3689525,0.363746702689785,1.60329014110515e-59,9.57436471056191e-59,100,100,SREBF2
56,MA0597.1,0,-0.474809048682674,-0.485416317513477,3761017,0.370795029850787,1.0503048710898e-53,5.68241866153714e-53,100,100,THAP1
57,MA0599.1,0,0.107540090216489,0.141880003637261,5827515,0.574529069765149,5.60065013528717e-19,1.28916783114065e-18,100,100,KLF5
58,MA0610.1,0,0.0258776542973987,0.0536444274318751,5249050,0.517498764679414,0.0366571536962434,0.0415841904833729,100,100,DMRT3
59,MA0613.1,0,0.133288551871152,0.157681876906323,5536329,0.54582132354594,4.45929129252379e-08,6.95254036494473e-08,100,100,FOXG1
60,MA0618.1,0,-0.266066697116942,-0.280923547551978,4207246,0.414788315543271,2.55562353091425e-24,6.65724154349267e-24,100,100,LBX1
61,MA0625.1,0,-0.366709409948251,-0.36071286283899,4224601,0.416499328214328,2.04157439125478e-23,5.21095399058175e-23,100,100,NFATC3
62,MA0628.1,0,-0.150167228228867,-0.158221021002828,4625929.5,0.456065917021949,1.55213904352125e-07,2.30094616990387e-07,100,100,POU6F1
63,MA0630.1,0,-0.151680659640652,-0.159456213139125,4573665.5,0.450913259791173,4.58551514511507e-09,7.51976965507213e-09,100,100,SHOX
64,MA0634.1,0,-0.193151464593167,-0.18939678249799,4520656,0.445687104436152,8.83660634809923e-11,1.5494658776584e-10,100,100,ALX3
65,MA0635.1,0,-0.00614870182148645,0.0212755943584782,5136821,0.506434216073246,0.442297839888191,0.46430270754432,100,100,BARHL2
66,MA0636.1,0,0.0245689900687485,0.0607170507120748,5259364,0.518515611967762,0.0270367932416711,0.0311735703496863,100,100,BHLHE41
67,MA0637.1,0,0.0133730635394792,0.042902809096255,5208136,0.513465092975374,0.107858827647559,0.118738500697226,100,100,CENPB
68,MA0638.1,0,-0.4660688713634,-0.519841248246084,3749984.5,0.369707346342091,1.39235800945234e-54,7.66402278246374e-54,100,100,CREB3
69,MA0639.1,0,0.130287520404997,0.14999227003666,5582702.5,0.550393242076695,1.77057183289926e-09,2.93395803723882e-09,100,100,DBP
